Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
HDFC,W3,12-Aug-21,770,784.7,784.7,770,777,777.8,776.23,8400,6520350,14
HDFC,EQ,13-Aug-21,2668.75,2662,2715,2662,2702.1,2704.15,2701.06,3248615,8774705018,119082
HDFC,W3,13-Aug-21,777.8,790,811,790,804,804,800.07,36600,29282610,51
HDFC,EQ,16-Aug-21,2704.15,2696.8,2734.45,2693.8,2732.7,2731.15,2721.13,2465887,6709996707,106602
HDFC,W3,16-Aug-21,804,816.95,817.5,807,810,811.4,812.83,37800,30724800,55
HDFC,EQ,17-Aug-21,2731.15,2729.95,2750,2707.15,2745.6,2738.4,2726.15,2795510,7620988084,134271
HDFC,W3,17-Aug-21,811.4,807,819,801,819,812.35,809.61,48600,39347010,79
HDFC,EQ,18-Aug-21,2738.4,2750,2770.3,2698,2710,2710.75,2730.04,2501410,6828940470,98075
HDFC,W3,18-Aug-21,812.35,824,825,800,802,802,816.71,46200,37731780,77
HDFC,EQ,20-Aug-21,2710.75,2700,2738.95,2698,2712,2722.05,2720.55,3986473,10845398497,148438
HDFC,W3,20-Aug-21,802,790,810,790,795,795,801.16,8400,6729780,14
HDFC,EQ,23-Aug-21,2722.05,2745.5,2758.5,2710,2722,2721.95,2725.6,1901700,5183281802,85099
HDFC,W3,23-Aug-21,795,812,812,781.1,785,786.2,788.84,33000,26031840,52
HDFC,EQ,24-Aug-21,2721.95,2726,2729.9,2683.95,2694,2691.25,2694.84,2984595,8043012751,109438
HDFC,W3,24-Aug-21,786.2,771,776,767.1,775,774.5,771.92,16200,12505050,27
HDFC,EQ,25-Aug-21,2691.25,2707.8,2718.5,2696.25,2701,2699.25,2707.03,1714777,4641944905,76558
HDFC,W3,25-Aug-21,774.5,790,790,790,790,790,790,600,474000,1
HDFC,EQ,26-Aug-21,2699.25,2711.25,2720,2682.2,2702.95,2700.35,2702.16,1855274,5013249312,60397
HDFC,W3,26-Aug-21,790,790,790,780,780,780,783.25,2400,1879800,4
HDFC,EQ,27-Aug-21,2700.35,2694.1,2724.65,2662.05,2716.1,2718.2,2694.57,2761023,7439778308,131023
HDFC,W3,27-Aug-21,780,755,787,755,786.85,785.4,773.52,10200,7889880,17
HDFC,EQ,30-Aug-21,2718.2,2730.45,2764.9,2723.1,2758,2755.7,2745.04,1731926,4754203941,77957
HDFC,W3,30-Aug-21,785.4,798.9,815,798.9,815,811.8,810.24,38400,31113360,63
HDFC,EQ,31-Aug-21,2755.7,2748,2812,2739.35,2794.7,2798.5,2789.41,4933523,13761630800,123236
HDFC,W3,31-Aug-21,811.8,817,840,817,840,837.65,830.6,42000,34884990,68
HDFC,EQ,01-Sep-21,2798.5,2790,2796.95,2736.6,2746.2,2747.75,2759.52,3084291,8511167124,149131
HDFC,W3,01-Sep-21,837.65,820.5,827.8,810,815,815,817.66,16200,13246110,27
HDFC,EQ,02-Sep-21,2747.75,2756.9,2785,2737.25,2774.8,2777.7,2763.39,1734037,4791826197,88029
HDFC,W3,02-Sep-21,815,824.65,838,815,826,826,824.36,32400,26709420,50
HDFC,EQ,03-Sep-21,2777.7,2768.1,2784.15,2742.1,2755.5,2758.6,2759.78,1914438,5283434526,102751
HDFC,W3,03-Sep-21,826,838,838,816,830,830.95,827.86,9600,7947480,16
HDFC,EQ,06-Sep-21,2758.6,2765,2777.7,2741.2,2767,2765.3,2761.83,1729080,4775427924,86318
HDFC,W3,06-Sep-21,830.95,818,830.1,818,827,827,824.88,18600,15342720,31
HDFC,EQ,07-Sep-21,2765.3,2769.8,2853.65,2749.95,2833.2,2837,2815.53,4072518,11466298343,141669
HDFC,W3,07-Sep-21,827,830.9,896.5,820,880,879.3,868.11,52800,45836310,87
HDFC,EQ,08-Sep-21,2837,2838.25,2852,2802.25,2835.1,2829.3,2826.9,2274494,6429755969,122209
HDFC,W3,08-Sep-21,879.3,875.15,887,861,887,880.95,869.94,11400,9917370,19
HDFC,EQ,09-Sep-21,2829.3,2815.2,2853.85,2813.8,2826.55,2830.1,2830.98,1986913,5624903935,102303
